grammar,language,gender,age,socialmedia,education,educ_un,smart_stup,stim,friend_un,fem_not,young_old,funny_un,form_cas,prent_unp,masc_not,user_gender
4,english,Male,47,5,2,5,5,noth_ing,5,4,5,4,5,4,4,female
1,english,Female,21,5,2,1,1,noth_inn,6,1,4,1,4,4,4,female
4,english,Female,27,5,3,5,5,noth_inn,6,3,5,6,7,7,5,female
4,english,Female,39,4,3,4,4,noth_inn,6,2,5,3,6,4,5,female
3,english,Female,29,2,3,5,6,noth_ing,6,4,4,5,6,2,4,female
2,english,Male,22,5,3,4,4,noth_ing,7,7,2,7,7,7,5,female
2,english,Female,28,5,2,4,4,noth_inn,5,3,4,4,7,4,5,female
3,english,Female,22,5,3,2,2,noth_ing,5,5,5,1,3,3,3,female
3,english,Female,29,4,3,6,5,noth_inn,4,4,3,4,6,5,5,female
1,english,Female,39,5,4,2,2,noth_inn,6,4,4,2,6,6,4,female
4,english,Female,51,4,2,2,3,noth_ing,7,3,4,2,3,6,7,female
4,english,Female,64,1,3,4,4,noth_ing,6,1,3,4,4,4,6,female
2,english,Female,22,5,2,3,3,noth_ing,4,3,3,3,5,5,5,female
3,english,Other,23,5,3,4,4,noth_inn,5,4,2,5,7,3,4,female
4,english,Female,26,3,3,4,4,noth_ing,2,5,3,3,7,3,5,female
2,english,Male,55,5,3,4,4,noth_inn,6,5,5,4,6,2,4,female
2,english,Female,22,5,2,3,4,noth_inn,5,5,3,5,6,5,3,female
1,english,Male,24,5,2,1,1,noth_inn,6,7,4,3,6,2,2,female
3,english,Female,31,5,2,4,4,noth_ing,5,2,5,4,7,6,6,female
1,english,Female,47,5,2,4,4,noth_inn,4,4,6,1,6,4,4,female
3,english,Female,54,4,3,5,4,noth_inn,4,2,3,6,6,3,6,female
3,english,Female,24,5,3,7,4,noth_inn,7,6,2,4,7,4,6,female
5,english,Female,22,4,2,7,1,noth_inn,7,7,4,1,7,1,7,female
3,english,Male,28,5,3,5,5,noth_inn,6,4,3,3,6,2,6,female
2,english,Female,25,5,3,3,4,noth_inn,6,1,5,4,7,4,7,female
4,english,Female,30,1,3,7,7,noth_inn,5,4,4,7,6,2,4,female
3,english,Female,30,4,3,3,4,noth_ing,4,3,5,3,5,4,4,female
4,english,Female,31,5,3,4,4,noth_inn,6,4,4,4,7,4,4,female
4,english,Female,42,5,2,3,3,noth_ing,7,4,5,4,3,5,4,female
2,english,Female,32,3,2,3,4,noth_ing,4,4,3,4,5,4,4,female
2,english,Female,26,4,2,4,4,noth_ing,4,4,4,4,6,4,4,female
2,english,Female,26,5,2,4,4,noth_ing,5,4,4,4,5,5,4,female
4,english,Female,26,3,3,2,2,noth_inn,6,2,3,3,5,4,2,female
3,english,Female,28,1,3,4,4,noth_inn,5,1,4,4,4,4,4,female
2,english,Female,33,5,3,4,4,noth_ing,4,4,3,4,4,4,4,female
2,english,Female,36,5,2,4,4,noth_ing,5,5,3,5,5,5,3,male
4,english,Male,24,5,3,3,4,noth_ing,4,7,4,5,6,3,7,male
4,english,Female,32,5,2,3,4,noth_ing,6,4,4,4,6,4,4,male
3,english,Female,75,2,3,1,3,noth_inn,6,2,3,2,3,4,3,male
2,english,Female,23,5,2,3,4,noth_inn,5,6,3,4,6,6,3,male
1,english,Male,29,5,3,4,4,noth_inn,5,4,5,4,6,5,4,male
4,english,Female,24,5,3,4,5,noth_inn,6,4,5,4,3,5,5,male
4,english,Female,24,5,3,3,3,noth_inn,6,4,5,3,5,4,4,male
2,english,Male,24,4,3,2,4,noth_ing,4,2,5,5,6,3,5,male
2,english,Female,23,4,2,4,4,noth_inn,5,4,3,4,6,6,4,male
2,english,Female,37,4,3,1,4,noth_ing,6,7,6,4,7,7,1,male
1,english,Male,31,4,3,4,4,noth_ing,6,4,3,5,6,6,4,male
2,english,Male,58,2,3,5,5,noth_ing,5,6,3,4,5,4,4,male
2,english,Male,39,5,2,3,4,noth_ing,7,5,3,4,6,7,3,male
3,english,Male,34,1,4,3,3,noth_inn,6,6,4,4,6,5,3,male
3,english,Male,36,4,3,4,4,noth_ing,5,3,4,5,6,2,5,male
2,english,Male,35,5,2,4,4,noth_ing,6,4,3,4,5,6,4,male
3,english,Female,29,4,3,5,4,noth_inn,7,5,4,4,6,6,3,male
2,english,Male,20,5,2,4,4,noth_inn,5,4,3,5,7,4,4,male
3,english,Female,57,5,1,4,2,noth_inn,7,6,5,3,7,5,4,male
3,english,Female,22,5,3,2,3,noth_ing,6,3,4,2,3,6,5,male
1,english,Male,31,5,3,3,4,noth_ing,4,3,5,4,5,5,4,male
4,english,Female,25,4,3,4,5,noth_inn,6,4,6,7,6,7,5,male
2,english,Male,44,5,2,4,4,noth_inn,5,4,6,4,7,4,4,male
2,english,Male,25,5,3,2,3,noth_inn,7,4,3,6,6,2,3,male
2,english,Female,20,4,1,4,4,noth_ing,6,4,3,3,7,5,4,male
1,english,Male,33,5,2,2,1,noth_ing,7,6,2,2,7,6,5,male
2,english,Male,32,2,3,4,4,noth_ing,4,4,4,4,6,4,4,male
2,english,Male,29,1,4,4,4,noth_ing,5,4,5,4,4,4,4,male
3,english,Female,23,4,2,3,4,noth_ing,5,4,3,4,6,4,4,male
2,english,Female,50,5,1,3,3,noth_inn,7,5,3,4,6,7,3,male
3,english,Female,32,5,4,3,4,noth_inn,4,5,5,3,6,6,4,male
4,english,Female,51,5,3,4,4,noth_ing,6,4,6,3,6,6,4,male
2,english,Female,19,5,2,4,4,noth_inn,5,5,3,5,6,4,4,male
2,english,Male,25,5,2,3,3,noth_inn,5,6,3,4,5,3,4,male
2,english,Male,28,5,4,1,5,noth_ing,6,2,3,6,7,6,7,male
1,english,Male,20,5,2,4,4,noth_inn,6,5,6,5,7,3,3,male
2,english,Female,23,5,3,3,3,noth_ing,6,4,3,3,4,5,4,male
4,english,Male,29,1,2,4,3,noth_inn,5,4,5,3,5,5,4,male
2,english,Female,31,3,4,3,3,noth_ing,5,4,4,4,6,3,4,male
2,english,Female,38,4,3,4,4,noth_ing,6,4,5,5,6,4,4,male
1,english,Male,23,4,3,4,4,noth_ing,4,3,3,4,7,4,5,male
4,english,Female,34,4,3,4,5,noth_inn,4,4,4,4,5,5,3,male
